,name,contact number,address1,address2
0,Baisley Nail Salon,+1 718-276-0173,"16149 Baisley Blvd, Jamaica, NY 11434, United States","M6H9+7W New York, United States"
1,Prisca Nails,+1 718-641-1916,"12712 Liberty Ave, South Richmond Hill, NY 11419, United States","M5QM+F3 New York, United States"
2,99 Nail Spa Inc,+1 808-393-1111,"114-12 Liberty Ave, South Richmond Hill, NY 11419, United States","M5PC+6P New York, United States"
3,Double Easy Nail Salon Inc,+1 718-848-2080,"10902 Liberty Ave, South Richmond Hill, NY 11419, United States","M5M8+HV South Richmond Hill, Queens, NY, United States"
4,Baisley Nail Salon,+1 718-276-0173,"16149 Baisley Blvd, Jamaica, NY 11434, United States","M6H9+7W New York, United States"
5,Poly Nail Corporation,+1 718-659-1209,"14603 Rockaway Blvd, Jamaica, NY 11436, United States","M6F5+FF New York, United States"
6,Nail Spa Inc,+1 718-738-2761,"12504 Liberty Ave, Jamaica, NY 11419, United States","M5QJ+59 New York, United States"
7,Cheerful Nail & Spa Salon,+1 718-949-0880,"11831 Guy R Brewer Blvd, Jamaica, NY 11434, United States","M6M9+55 New York, United States"
8,Crazy Nails,+1 718-658-7619,"14607 Jamaica Ave, Jamaica, NY 11435, United States","P52R+QH New York, United States"
9,Maggie Nail & Spa,+1 718-848-0363,"11432 Sutphin Blvd, Jamaica, NY 11434, United States","M6P4+5H New York, United States"
10,City Lover Nail Salon,+1 718-276-2829,"18803 Baisley Blvd, St. Albans, NY 11412, United States","M6RP+9X New York, United States"
11,Gorgeous Nail,+1 718-323-9998,"142-11 Rockaway Blvd, Jamaica, NY 11436, United States","M6F2+PJ New York, United States"
12,Sarine's Nail and Beauty Salon,+1 917-748-7990,"115-09 Lefferts Blvd, Jamaica, NY 11420, United States","M5GJ+M7 Jamaica, Queens, NY, United States"
13,Andreas Spa & Nail Salon Inc,+1 718-558-8655,"9041 160th St, Jamaica, NY 11432, United States","P632+J7 New York, United States"
