,Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm
0,475 Clermont Avenue,,Fitness Factory Health Club,RXR Realty,Brooklyn,"18,000",,,Fort Greene,01/10/2020,,"Jason Pennington, Andrew Clemens, Benjamin Weiner, Jessica Hedrington",Retail Leasing,01/10/2020,,RIPCO Real Estate
1,10 Union Square East,,Target,Empire State Realty Trust,Manhattan,"32,579",,,Gramercy,01/09/2020,,,Retail Leasing,01/10/2020,,
2,225 47th Street,,20/20 Night Club,Dib Management,Brooklyn,"13,000",,,Sunset Park,01/09/2020,Julio Reyes,Julio Reyes,Retail Leasing,01/10/2020,Reyes & Elsamad Real Estate Group,Reyes & Elsamad Real Estate Group
3,138 Spring Street,,Mackage,JSRE Acquisitions,Manhattan,"4,500",,,Soho,01/08/2020,Michael Yadegard,Roy Dervich,Retail Leasing,01/10/2020,Compass,Breakwater Holdings
4,116 West Houston Street,,Kitopi,Y&H Realty Corporation,Manhattan,"7,500",,,Greenwich Village,01/07/2020,"Tarik Bouzourene, Aziz Kabbaj","Peter Braus, Gregg Gropper",Retail Leasing,01/10/2020,Reshape,Lee & Associates
5,73 West Houston Street,,Elvis + Elvin New York,Manhattan Skyline Management,Manhattan,500,,,Soho,01/07/2020,,Joshua Roth,Retail Leasing,01/10/2020,,Manhattan Skyline Management
6,379 Third Avenue,,Soft Swerve,Culinary Associates,Manhattan,475,,,Kips Bay,12/31/2019,Logan Ryan,"William Abramson, Matthew Olden",Retail Leasing,01/10/2020,Meridian Retail Leasing,Buchbinder & Warren Realty Group
7,1155 Sixth Avenue,,Gumption Coffee,Durst Organization,Manhattan,300,,,Times Square,12/27/2019,"Louis Franco, Jack Hurley, Joseph Isa","Louis Franco, Jack Hurley, Joseph Isa",Retail Leasing,01/10/2020,Isa Realty Group,Isa Realty Group
8,15 Vanderbilt Avenue,,Kitopi,Balogh family,Brooklyn,"4,036",,,Fort Greene,12/26/2019,,,Retail Leasing,12/27/2019,,
9,177 Ludlow Street,,Omakase,177 Ludlow SM DE,Manhattan,"2,000",,,Lower East Side,12/26/2019,"James Famularo, Dane Harlowe","James Famularo, Dane Harlowe",Retail Leasing,12/27/2019,Meridian Capital Group,Meridian Capital Group
10,155 Seventh Avenue,,Blackwave Coffee,20th and Seventh,Manhattan,"1,253",,,Chelsea,12/23/2019,Alexander Karas,"Andrew Taub, Benjamin Birnbaum",Retail Leasing,01/10/2020,Winick Realty Group,Newmark Knight Frank
11,707 Lexington Avenue,,Taco Bell,707-709 Lexington LLC,Manhattan,"6,434",,,Plaza District,12/18/2019,"Louis Franco, Joseph Isa","Louis Franco, Joseph Isa",Retail Leasing,12/27/2019,Isa Realty Group,Isa Realty Group
12,7 Bell Slip,,Eleva,Park Tower Group,Brooklyn,"1,000",,,Greenpoint,12/18/2019,,,Retail Leasing,12/27/2019,,
13,58 West 8th Street,,Sicily Street Food,Return to Home,Manhattan,"1,000",,,Greenwich Village,12/17/2019,Alex Karas,"William Abramson, Matthew Olden",Retail Leasing,01/10/2020,Winick Realty Group,Buchbinder & Warren Realty Group
14,1384 Second Avenue,,InVite Health,Ferl Realty Company,Manhattan,710,,,Upper East Side,12/17/2019,Teddy Srour,David Graff,Retail Leasing,01/10/2020,Winick Realty Group,Compass
15,535 Fifth Avenue,,Best Buy,Moinian Group,Manhattan,"40,839",,,Grand Central,12/16/2019,,,Retail Leasing,12/27/2019,,
16,135 West 41st Street,,Club Nebula,"Tribeca Associates, Vanke",Manhattan,"10,000",,,Times Square,12/16/2019,"Mark Kapnick, Peter Braus, JP Sutro, Richard Kave","Mark Kapnick, Peter Braus, JP Sutro, Richard Kave",Retail Leasing,12/27/2019,Lee & Associates,Lee & Associates
17,22-43 Jackson Avenue,,Trader Joe's,Circle F Capital,Queens,"17,000",,,Long Island City,12/11/2019,,,Retail Leasing,12/13/2019,,
18,1515 Broadway,,RAD Entertainment Group,SL Green Realty,Manhattan,"39,436",,,Times Square,12/10/2019,,"Ariel Schuster, Ross Berkowitz, Jared Robins",Retail Leasing,12/13/2019,,Newmark Knight Frank
19,304 Park Avenue South,,Walgreens,SL Green Realty,Manhattan,"8,458",,,Flatiron,12/10/2019,"Erin Grace, Michael Riley",,Retail Leasing,12/13/2019,JLL,
20,20 East 49th Street,,20E49 Limoncello,20 E 49 St LLC,Manhattan,"6,128",,,Plaza District,12/10/2019,Irina Levieva,"Steven Baker, Kenneth Hochhauser",Retail Leasing,01/10/2020,Ostrov Realty Group,Winick Realty Group
21,45 Rockefeller Plaza,,Riad Nasr & Lee Hanson,Tishman Speyer,Manhattan,"18,000",,,Plaza District,12/09/2019,,,Retail Leasing,12/13/2019,,
22,240 Meeker Street,,City Kids,240 Meeker Avenue Corp,Brooklyn,"11,279",,,East Williamsburg,12/09/2019,"Peter Schubert, Abbie Cheng, Bill Strassman",Jeffrey Unger,Retail Leasing,12/13/2019,TerraCRG,Kalmon Dolgin
23,5 Manhattan West,,Citizens,Brookfield Properties,Manhattan,"40,000",,,Hudson Yards,12/06/2019,,,Retail Leasing,12/06/2019,,
24,233 West 42nd Street,,Target,Tishman Speyer,Manhattan,"32,942",,,Times Square,12/05/2019,,,Retail Leasing,12/06/2019,,
25,585 Hudson Street,,Gourmet Garage,Left Bank Apt,Manhattan,"15,000",,,West Village,12/05/2019,Jason Richter,"Andrew Schulman, Ryan Schimel",Retail Leasing,12/06/2019,Capricorn Retail Advisors,Capricorn Retail Advisors
26,969 Third Avenue,,Saatva,Blair House Condominium,Manhattan,"3,300",,,Midtown East,12/04/2019,,,Retail Leasing,12/27/2019,,
27,1600 Broadway,,M&M World,Sherwood Equities,Manhattan,"30,000",,,Times Square,12/02/2019,,,Retail Leasing,12/06/2019,,
28,2 Times Square,,Olive Garden,Sherwood Equities,Manhattan,"20,000",,,Times Square,12/02/2019,,,Retail Leasing,12/06/2019,,
29,10 Times Square,,Yard House,L.H. Charney Associates,Manhattan,"19,000",,,Times Square,12/02/2019,,,Retail Leasing,12/06/2019,RIPCO Real Estate,JLL
30,1061 Madison Avenue,,Bandier,Babka Associates,Manhattan,"3,250",,,Upper East Side,12/01/2019,Adam Henick,"William Abramson, Matthew Olden",Retail Leasing,01/10/2020,Current Real Estate Advisors,Buchbinder & Warren Realty Group
